pack,pos,number,name,subtitle,rarity,type,variant,normalNumber,foilLook,hyperspaceLook,confidence,note
16,12,766,A New Order,,Common,Event,Hyperspace Foil,264,1,1,high,CORRECTED: previous pass had 264 Normal foil with standard border. Card is actually borderless with foil sheen and prints ASH-EN 766 = hyperspace foil variant.
16,13,147,The Cyborg Mech,Mysterious Threat,Uncommon,Unit,Normal,147,0,0,high,Printed 147/264 verified.
16,14,54,Pointless to Resist,,Uncommon,Upgrade,Normal,54,0,0,high,Printed 54/264 verified.
16,15,209,Ezra Bridger,The Force is All I Need,Uncommon,Unit,Normal,209,0,0,high,Printed 209/264 verified.
16,16,200,Rehabilitation,,Rare,Event,Normal,200,0,0,high,Printed 200/264 verified.
17,1,10,Bo-Katan Kryze,Reclaiming Mandalore,Rare,Leader,Normal,10,0,0,high,Rare leader. Printed 10/264 verified.
17,2,286,Kryze Castle,,Common,Base,Hyperspace,22,0,1,high,CORRECTED: previous pass had 22 Normal. Card is borderless (art bleeds to card edges) and prints ASH-EN 286 = hyperspace base variant.
17,3,80,Covert Believers,,Common,Unit,Normal,80,0,0,high,Printed 80/264 verified.
17,4,246,Exploit Advantage,,Common,Event,Normal,246,0,0,high,Printed 246/264 verified.
17,5,173,Shydopp Pirate Skiff,,Common,Unit,Normal,173,0,0,high,Printed 173/264 verified.
17,6,78,B-Wing Rearguard,,Common,Unit,Normal,78,0,0,high,Printed 78/264 verified.
17,7,407,Tempest Lieutenant,,Common,Unit,Hyperspace,143,0,1,high,CORRECTED: previous pass had 143 Normal. Card is borderless (forest art bleeds to card edges) and prints ASH-EN 407 = hyperspace variant.
17,8,254,Gallofree Transport,,Common,Unit,Normal,254,0,0,high,Printed 254/264 verified.
17,9,221,Helix Starfighter,,Common,Unit,Normal,221,0,0,high,Printed 221/264 verified.
17,10,117,Outland Protector,,Common,Unit,Normal,117,0,0,high,Printed 117/264 verified.
17,11,213,Womp Rat,,Common,Unit,Normal,213,0,0,high,Printed 213/264 verified.
17,12,660,Han Solo,It'll Work,Special,Unit,Hyperspace Foil,158,1,1,high,Printed ASH-EN 660 re-verified; borderless full-art with foil sheen. Previous pass was already correct.
17,13,119,Greef Karga,Introductions are in Order,Uncommon,Unit,Normal,119,0,0,high,Printed 119/264 verified.
17,14,150,Deadly Vulnerability,,Uncommon,Upgrade,Normal,150,0,0,high,Printed 150/264 verified.
17,15,236,Far Far Away,,Uncommon,Event,Normal,236,0,0,high,Printed 236/264 verified.
17,16,132,Queen Soruna,Willing to Fight,Rare,Unit,Normal,132,0,0,high,Printed 132/264 verified.
18,1,6,Sabine Wren,Bargaining on Belief,Common,Leader,Normal,6,0,0,high,Printed 6/264 verified; standard black-border leader frame.
18,2,24,Dragonsnake Bog,,Common,Base,Normal,24,0,0,high,Printed 24/264 verified; standard black-border base frame.
18,3,152,Inspired Recruit,,Common,Unit,Normal,152,0,0,high,Printed 152/264 verified.
18,4,73,Palace Chef Droid,,Common,Unit,Normal,73,0,0,high,Printed 73/264 verified.
18,5,141,TIE Striker,,Common,Unit,Normal,141,0,0,high,Printed 141/264 verified.
18,6,240,Mandalorian Super Commandos,,Common,Unit,Normal,240,0,0,high,Printed 240/264 verified; dark art but standard frame.
18,7,353,Perseverance,,Common,Event,Hyperspace,89,0,1,high,CORRECTED: previous pass had 89 Normal. Card is borderless (Mandalorian art bleeds to card edges) and prints ASH-EN 353 = hyperspace variant.
18,8,262,Faith in the Empire,,Common,Upgrade,Normal,262,0,0,high,Printed 262/264 verified; this copy is the normal bordered variant.
18,9,96,Forest Patroller,,Common,Unit,Normal,96,0,0,high,Printed 96/264 verified.
18,10,222,Unsanctioned Patrol,,Common,Unit,Normal,222,0,0,high,Printed 222/264 verified.
18,11,140,Stronger Together,,Common,Event,Normal,140,0,0,high,Printed 140/264 verified.
18,12,672,Desert Sharpshooter,,Common,Unit,Hyperspace Foil,170,1,1,high,Printed ASH-EN 672 re-verified; borderless full-art foil. Previous pass was already correct.
18,13,72,Doctor Pershing,Dedicated to Research,Uncommon,Unit,Normal,72,0,0,high,Printed 72/264 verified.
18,14,35,Tatooine Repulsor Train,,Uncommon,Unit,Normal,35,0,0,high,Printed 35/264 verified.
18,15,314,Morgan Elsbeth,Life Abandoned,Uncommon,Unit,Hyperspace,50,0,1,high,CORRECTED: previous pass had 50 Normal. Card is borderless (art bleeds to card edges) and prints ASH-EN 314 = hyperspace variant.
18,16,135,The Darksaber,Icon of Leadership,Legendary,Upgrade,Normal,135,0,0,high,Printed 135/264 verified.
19,1,17,Greef Karga,Gracious Magistrate,Common,Leader,Normal,17,0,0,high,audit: read 17/264
19,2,26,Freetown,,Common,Base,Normal,26,0,0,high,audit: read 26/264
19,3,57,Lothal E-Wing,,Common,Unit,Normal,57,0,0,high,read 57/264
19,4,154,Honorable Nite Owl,,Common,Unit,Normal,154,0,0,high,read 154/264
19,5,82,Trexler Armored Marauder,,Common,Unit,Normal,82,0,0,high,read 82/264
19,6,157,Danger Squadron Wingmen,,Common,Unit,Normal,157,0,0,high,read 157/264
19,7,492,Preparation,,Common,Upgrade,Hyperspace,228,0,1,high,audit correction (was 228 Normal): full-res crop shows printed bare 492 with NO /264 denominator; borderless art with hyperspace streaks; this is the pack's nonfoil HS common
19,8,228,Preparation,,Common,Upgrade,Normal,228,0,0,high,read 228/264
19,9,96,Forest Patroller,,Common,Unit,Normal,96,0,0,high,read 96/264
19,10,254,Gallofree Transport,,Common,Unit,Normal,254,0,0,high,read 254/264
19,11,216,Mandalorian Scout,,Common,Unit,Normal,216,0,0,high,read 216/264
19,12,703,Open Circle Ace,,Common,Unit,Hyperspace Foil,201,1,1,high,"read 703; heavy foil glare, borderless frame"
19,13,88,The Conflict Within,,Uncommon,Upgrade,Normal,88,0,0,high,read 88/264
19,14,178,Knobby White Ice Spider,,Uncommon,Unit,Normal,178,0,0,high,read 178/264
19,15,297,Grand Admiral Thrawn,Orchestrating His Return,Rare,Unit,Hyperspace,33,0,1,high,read 297; hyperspace borderless variant of rare unit
19,16,70,At Attin Safety Droid,,Rare,Unit,Normal,70,0,0,high,read 70/264
20,1,274,Bo-Katan Kryze,Reclaiming Mandalore,Rare,Leader,Hyperspace,10,0,1,high,read 274; borderless hyperspace leader
20,2,25,Emperor's Observatory,,Common,Base,Normal,25,0,0,high,read 25/264; Pillio
20,3,259,LEP Ratcatcher,,Common,Unit,Normal,259,0,0,high,read 259/264
20,4,61,Strike Team Vanguard,,Common,Unit,Normal,61,0,0,high,read 61/264
20,5,176,Imposing Scout Walker,,Common,Unit,Normal,176,0,0,high,read 176/264
20,6,91,Buy Time,,Common,Event,Normal,91,0,0,high,read 91/264
20,7,384,Warrior of Clan Kryze,,Common,Unit,Hyperspace,120,0,1,high,read 384; borderless full-art
20,8,117,Outland Protector,,Common,Unit,Normal,117,0,0,high,read 117/264
20,9,231,Diplomatic Pageantry,,Common,Event,Normal,231,0,0,high,read 231/264
20,10,264,A New Order,,Common,Event,Normal,264,0,0,high,read 264/264
20,11,138,Turning the Tide,,Common,Event,Normal,138,0,0,high,read 138/264
20,12,580,B-Wing Rearguard,,Common,Unit,Hyperspace Foil,78,1,1,high,"read 580; glossy foil sheen, borderless"
20,13,209,Ezra Bridger,The Force is All I Need,Uncommon,Unit,Normal,209,0,0,high,read 209/264
20,14,97,Moff Gideon,Remnant Commander,Uncommon,Unit,Normal,97,0,0,high,read 97/264
20,15,194,Snub Fighter Squadron,,Uncommon,Unit,Normal,194,0,0,high,read 194/264
20,16,195,Helgait,Dooku Was a Visionary,Rare,Unit,Normal,195,0,0,high,read 195/264
21,1,4,Grand Admiral Thrawn,Victory is Mine,Rare,Leader,Normal,4,0,0,high,read 4/264
21,2,26,Freetown,,Common,Base,Normal,26,0,0,high,read 26/264; Tatooine
21,3,239,Imperial Loyalist,,Common,Unit,Normal,239,0,0,high,read 239/264
21,4,184,Follow Me,,Common,Event,Normal,184,0,0,high,read 184/264
21,5,76,Remnant Official,,Common,Unit,Normal,76,0,0,high,read 76/264
21,6,185,Intimidation,,Common,Event,Normal,185,0,0,high,read 185/264
21,7,513,Covert Veteran,,Common,Unit,Hyperspace,249,0,1,high,read 513; hyperspace variant
21,8,233,Keep Them Talking,,Common,Event,Normal,233,0,0,high,read 233/264
21,9,136,Display of Strength,,Common,Event,Normal,136,0,0,high,read 136/264
21,10,215,Flanking TIE Interceptor,,Common,Unit,Normal,215,0,0,high,read 215/264
21,11,258,Grassroots Resistance,,Common,Event,Normal,258,0,0,high,read 258/264
21,12,763,Noti Mobile Pod,,Common,Unit,Hyperspace Foil,261,1,1,high,read 763; heavy silvery foil glare
21,13,49,Shin Hati,Going Somewhere?,Uncommon,Unit,Normal,49,0,0,high,read 49/264
21,14,159,Alphabet Squadron U-Wing,Quiet Devotion,Uncommon,Unit,Normal,159,0,0,high,read 159/264
21,15,462,Nowhere to Hide,,Uncommon,Upgrade,Hyperspace,198,0,1,high,read 462; hyperspace full-art variant
21,16,144,Vane's Snub Fighter,Brash and Proud,Rare,Unit,Normal,144,0,0,high,read 144/264
22,1,3,Baylan Skoll,Power Beyond Dream,Common,Leader,Normal,3,0,0,high,sideways leader; verified printed 3/264
22,2,24,Dragonsnake Bog,,Common,Base,Normal,24,0,0,high,verified printed 24/264 (Dagobah base)
22,3,75,Pit Droid Team,,Common,Unit,Normal,75,0,0,high,verified printed 75/264
22,4,170,Desert Sharpshooter,,Common,Unit,Normal,170,0,0,high,verified printed 170/264
22,5,238,Attendant Navigator,,Common,Unit,Normal,238,0,0,high,verified printed 238/264
22,6,86,Durasteel Plating,,Common,Upgrade,Normal,86,0,0,high,verified printed 86/264
22,7,440,Imposing Scout Walker,,Common,Unit,Hyperspace,176,0,1,high,CORRECTED: previous pass had 176 Normal; card is borderless and printed number reads 440 (no /264) = hyperspace nonfoil
22,8,122,Consortium StarViper,,Common,Unit,Normal,122,0,0,high,verified printed 122/264
22,9,221,Helix Starfighter,,Common,Unit,Normal,221,0,0,high,verified printed 221/264
22,10,134,Warrior's Legacy,,Common,Upgrade,Normal,134,0,0,high,verified printed 134/264
22,11,249,Covert Veteran,,Common,Unit,Normal,249,0,0,high,verified printed 249/264
22,12,642,Stronger Together,,Common,Event,Hyperspace Foil,140,1,1,high,"CORRECTED: previous pass had 140 standard foil; card is borderless (art bleeds to edges, title bar overlaid) with foil sheen and printed number reads 642 (no /264) = hyperspace foil"
22,13,99,Gozanti Assault Carrier,,Uncommon,Unit,Normal,99,0,0,high,verified printed 99/264
22,14,67,Get Lost,,Uncommon,Event,Normal,67,0,0,high,verified printed 67/264
22,15,208,Sabine Wren,I Learned the Hard Way,Uncommon,Unit,Normal,208,0,0,high,verified printed 208/264
22,16,104,Dathomiri Magicks,,Rare,Event,Normal,104,0,0,high,verified printed 104/264
23,1,16,Shin Hati,Eager Adversary,Common,Leader,Normal,16,0,0,high,sideways leader; verified printed 16/264
23,2,23,Ancient Henge,,Common,Base,Normal,23,0,0,high,verified printed 23/264 (Seatos base)
23,3,175,Wookiee Chieftain,,Common,Unit,Normal,175,0,0,high,verified printed 175/264
23,4,242,Death Trooper Squad,,Common,Unit,Normal,242,0,0,high,verified printed 242/264
23,5,51,Reinforcing Light Cruiser,,Common,Unit,Normal,51,0,0,high,verified printed 51/264
23,6,166,Ewok Warrior,,Common,Unit,Normal,166,0,0,high,verified printed 166/264
23,7,350,Durasteel Plating,,Common,Upgrade,Hyperspace,86,0,1,high,CORRECTED: previous pass had 86 Normal; printed number reads 350 (no /264) = hyperspace nonfoil; extended-art border visible on close crop
23,8,222,Unsanctioned Patrol,,Common,Unit,Normal,222,0,0,high,verified printed 222/264
23,9,121,Blurrg,,Common,Unit,Normal,121,0,0,high,verified printed 121/264
23,10,201,Open Circle Ace,,Common,Unit,Normal,201,0,0,high,verified printed 201/264
23,11,130,Fang Fighter Squadron,,Common,Unit,Normal,130,0,0,high,verified printed 130/264
23,12,675,Shydopp Pirate Skiff,,Common,Unit,Hyperspace Foil,173,1,1,high,verified printed 675 (no /264); borderless full-art frame with gold foil sheen
23,13,172,Razor Crest,Outfitted Armament,Uncommon,Unit,Normal,172,0,0,high,verified printed 172/264
23,14,115,The Student Guides the Master,,Uncommon,Event,Normal,115,0,0,high,verified printed 115/264
23,15,65,Home One,Heart of the Fleet,Uncommon,Unit,Normal,65,0,0,high,verified printed 65/264
23,16,53,Pre Vizsla,Strong-Willed Ruler,Legendary,Unit,Normal,53,0,0,high,verified printed 53/264
24,1,8,Moff Gideon,Indomitable Warlord,Common,Leader,Normal,8,0,0,high,sideways leader; verified printed 8/264
24,2,287,Ancient Henge,,Common,Base,Hyperspace,23,0,1,high,CORRECTED: previous pass had 23 Normal; printed number reads 287 (no /264) = hyperspace nonfoil base (Seatos)
24,3,239,Imperial Loyalist,,Common,Unit,Normal,239,0,0,high,verified printed 239/264
24,4,185,Intimidation,,Common,Event,Normal,185,0,0,high,verified printed 185/264
24,5,61,Strike Team Vanguard,,Common,Unit,Normal,61,0,0,high,verified printed 61/264
24,6,141,TIE Striker,,Common,Unit,Normal,141,0,0,high,verified printed 141/264
24,7,321,Lothal E-Wing,,Common,Unit,Hyperspace,57,0,1,high,CORRECTED: previous pass had 57 Normal; printed number reads 321 (no /264) = hyperspace nonfoil; extended-art border texture visible
24,8,205,Inspiring Veteran,,Common,Unit,Normal,205,0,0,high,verified printed 205/264
24,9,107,Clan Wren Loyalist,,Common,Unit,Normal,107,0,0,high,verified printed 107/264
24,10,256,Rebel Infiltrators,,Common,Unit,Normal,256,0,0,high,verified printed 256/264
24,11,193,Emperor's Champion,,Common,Unit,Normal,193,0,0,high,verified printed 193/264
24,12,604,Ravager,Final Imperial Command,Legendary,Unit,Hyperspace Foil,102,1,1,high,verified printed 604 (no /264); borderless full-art frame with foil shine
24,13,187,Reckoning,,Uncommon,Event,Normal,187,0,0,high,verified printed 187/264
24,14,68,Domesticated Loth-Cat,,Uncommon,Unit,Normal,68,0,0,high,verified printed 68/264
24,15,361,Moff Gideon,Remnant Commander,Uncommon,Unit,Hyperspace,97,0,1,high,CORRECTED: previous pass had 97 Normal; printed number reads 361 (no /264) = hyperspace nonfoil; extended-art border texture visible
24,16,114,Sabine's Lightsaber,Not Alone,Rare,Upgrade,Normal,114,0,0,high,verified printed 114/264
